Question 1£º
i   j  W_ij
=========================
0 1 -2.5242804920456425
0 2 3.6369020557900997
0 3 2.2916972580394877
1 0 2.5242804920456425
1 2 6.161182547835742
1 3 4.81597775008513
2 0 -3.6369020557900997
2 1 -6.161182547835742
2 3 -1.345204797750612
3 0 -2.2916972580394877
3 1 -4.81597775008513
3 2 1.345204797750612
=========================
0 1 -2.5242804920456425
0 2 3.6369020557900997
0 3 2.2916972580394877
1 0 2.5242804920456425
1 2 6.161182547835742
1 3 4.81597775008513
2 0 -3.6369020557900997
2 1 -6.161182547835742
2 3 -1.345204797750612
3 0 -2.2916972580394877
3 1 -4.81597775008513
3 2 1.345204797750612
=========================
0 1 -1.2413677330470474
0 2 3.353709281564943
0 3 1.7443957923453013
1 0 1.2413677330470474
1 2 4.595077014611991
1 3 2.9857635253923487
2 0 -3.353709281564943
2 1 -4.595077014611991
2 3 -1.609313489219642
3 0 -1.7443957923453013
3 1 -2.9857635253923487
3 2 1.609313489219642
=========================
0 1 -1.2413677330470474
0 2 3.353709281564943
0 3 1.7443957923453013
1 0 1.2413677330470474
1 2 4.595077014611991
1 3 2.9857635253923487
2 0 -3.353709281564943
2 1 -4.595077014611991
2 3 -1.609313489219642
3 0 -1.7443957923453013
3 1 -2.9857635253923487
3 2 1.609313489219642
=========================
0 1 -1.2413677330470474
0 2 3.353709281564943
0 3 1.7443957923453013
1 0 1.2413677330470474
1 2 4.595077014611991
1 3 2.9857635253923487
2 0 -3.353709281564943
2 1 -4.595077014611991
2 3 -1.609313489219642
3 0 -1.7443957923453013
3 1 -2.9857635253923487
3 2 1.609313489219642
=========================
0 1 -2.2112871536727496
0 2 2.29205574572269
0 3 2.322980409861941
1 0 2.2112871536727496
1 2 4.50334289939544
1 3 4.534267563534691
2 0 -2.29205574572269
2 1 -4.50334289939544
2 3 0.03092466413925088
3 0 -2.322980409861941
3 1 -4.534267563534691
3 2 -0.03092466413925088
=========================
0 1 -2.2112871536727496
0 2 2.29205574572269
0 3 2.322980409861941
1 0 2.2112871536727496
1 2 4.50334289939544
1 3 4.534267563534691
2 0 -2.29205574572269
2 1 -4.50334289939544
2 3 0.03092466413925088
3 0 -2.322980409861941
3 1 -4.534267563534691
3 2 -0.03092466413925088
=========================
0 1 -11.180733120202586
0 2 -7.953508397553268
0 3 -12.713461899468403
1 0 11.180733120202586
1 2 3.227224722649318
1 3 -1.5327287792658169
2 0 7.953508397553268
2 1 -3.227224722649318
2 3 -4.759953501915135
3 0 12.713461899468403
3 1 1.5327287792658169
3 2 4.759953501915135
=========================
0 1 -0.49711044397042947
0 2 -75.61979646804068
0 3 -16.32744338233217
1 0 0.49711044397042947
1 2 -75.12268602407025
1 3 -15.830332938361742
2 0 75.61979646804068
2 1 75.12268602407025
2 3 59.2923530857085
3 0 16.32744338233217
3 1 15.830332938361742
3 2 -59.2923530857085
=========================
0 1 -0.49711044397042947
0 2 -75.61979646804068
0 3 -16.32744338233217
1 0 0.49711044397042947
1 2 -75.12268602407025
1 3 -15.830332938361742
2 0 75.61979646804068
2 1 75.12268602407025
2 3 59.2923530857085
3 0 16.32744338233217
3 1 15.830332938361742
3 2 -59.2923530857085
=========================
0 1 -0.11637998369524194
0 2 -71.53393169202778
0 3 -14.358826250175348
1 0 0.11637998369524194
1 2 -71.41755170833254
1 3 -14.242446266480105
2 0 71.53393169202778
2 1 71.41755170833254
2 3 57.17510544185243
3 0 14.358826250175348
3 1 14.242446266480105
3 2 -57.17510544185243
=========================
0 1 -0.11637998369524194
0 2 -71.53393169202778
0 3 -14.358826250175348
1 0 0.11637998369524194
1 2 -71.41755170833254
1 3 -14.242446266480105
2 0 71.53393169202778
2 1 71.41755170833254
2 3 57.17510544185243
3 0 14.358826250175348
3 1 14.242446266480105
3 2 -57.17510544185243
=========================
0 1 -0.11637998369524194
0 2 -71.53393169202778
0 3 -14.358826250175348
1 0 0.11637998369524194
1 2 -71.41755170833254
1 3 -14.242446266480105
2 0 71.53393169202778
2 1 71.41755170833254
2 3 57.17510544185243
3 0 14.358826250175348
3 1 14.242446266480105
3 2 -57.17510544185243
=========================
0 1 -0.3825476163756347
0 2 -75.34728686668211
0 3 -25.582430149109797
1 0 0.3825476163756347
1 2 -74.96473925030648
1 3 -25.199882532734165
2 0 75.34728686668211
2 1 74.96473925030648
2 3 49.764856717572314
3 0 25.582430149109797
3 1 25.199882532734165
3 2 -49.764856717572314
=========================
0 1 0.7066715024884607
0 2 0.8237845140287909
0 3 -6.42539979511018
1 0 -0.7066715024884607
1 2 0.11711301154033027
1 3 -7.132071297598641
2 0 -0.8237845140287909
2 1 -0.11711301154033027
2 3 -7.249184309138971
3 0 6.42539979511018
3 1 7.132071297598641
3 2 7.249184309138971
=========================
0 1 0.5980999057166247
0 2 1.7675640355694395
0 3 2.023388659972561
1 0 -0.5980999057166247
1 2 1.1694641298528148
1 3 1.425288754255936
2 0 -1.7675640355694395
2 1 -1.1694641298528148
2 3 0.25582462440312126
3 0 -2.023388659972561
3 1 -1.425288754255936
3 2 -0.25582462440312126
=========================
0 1 0.5980999057166247
0 2 1.7675640355694395
0 3 2.023388659972561
1 0 -0.5980999057166247
1 2 1.1694641298528148
1 3 1.425288754255936
2 0 -1.7675640355694395
2 1 -1.1694641298528148
2 3 0.25582462440312126
3 0 -2.023388659972561
3 1 -1.425288754255936
3 2 -0.25582462440312126
=========================
0 1 0.5980999057166247
0 2 1.7675640355694395
0 3 2.023388659972561
1 0 -0.5980999057166247
1 2 1.1694641298528148
1 3 1.425288754255936
2 0 -1.7675640355694395
2 1 -1.1694641298528148
2 3 0.25582462440312126
3 0 -2.023388659972561
3 1 -1.425288754255936
3 2 -0.25582462440312126
=========================
0 1 0.07907933077384666
0 2 2.6618218232318815
0 3 4.16913157002333
1 0 -0.07907933077384666
1 2 2.582742492458035
1 3 4.090052239249483
2 0 -2.6618218232318815
2 1 -2.582742492458035
2 3 1.5073097467914485
3 0 -4.16913157002333
3 1 -4.090052239249483
3 2 -1.5073097467914485
=========================
0 1 -8.505322958300203
0 2 -7.017879952183426
0 3 -16.276841113820268
1 0 8.505322958300203
1 2 1.4874430061167772
1 3 -7.771518155520063
2 0 7.017879952183426
2 1 -1.4874430061167772
2 3 -9.25896116163684
3 0 16.276841113820268
3 1 7.771518155520063
3 2 9.25896116163684
=========================


Question 2£º
i   j  W_ij
=========================
0 1 -1797.7564646957444
0 2 -3093.2149801265755
0 3 -3413.620348795815
1 0 1797.7564646957444
1 2 -1295.4585154308309
1 3 -1615.8638841000707
2 0 3093.2149801265755
2 1 1295.4585154308309
2 3 -320.4053686692397
3 0 3413.620348795815
3 1 1615.8638841000707
3 2 320.4053686692397
=========================
0 1 -1797.7564646957444
0 2 -3093.2149801265755
0 3 -3413.620348795815
1 0 1797.7564646957444
1 2 -1295.4585154308309
1 3 -1615.8638841000707
2 0 3093.2149801265755
2 1 1295.4585154308309
2 3 -320.4053686692397
3 0 3413.620348795815
3 1 1615.8638841000707
3 2 320.4053686692397
=========================
0 1 -1609.091270449987
0 2 -2861.9550616685406
0 3 -2744.7692750288757
1 0 1609.091270449987
1 2 -1252.8637912185534
1 3 -1135.678004578889
2 0 2861.9550616685406
2 1 1252.8637912185534
2 3 117.18578663966476
3 0 2744.7692750288757
3 1 1135.678004578889
3 2 -117.18578663966476
=========================
0 1 -1609.091270449987
0 2 -2861.9550616685406
0 3 -2744.7692750288757
1 0 1609.091270449987
1 2 -1252.8637912185534
1 3 -1135.678004578889
2 0 2861.9550616685406
2 1 1252.8637912185534
2 3 117.18578663966476
3 0 2744.7692750288757
3 1 1135.678004578889
3 2 -117.18578663966476
=========================
0 1 -1609.091270449987
0 2 -2861.9550616685406
0 3 -2744.7692750288757
1 0 1609.091270449987
1 2 -1252.8637912185534
1 3 -1135.678004578889
2 0 2861.9550616685406
2 1 1252.8637912185534
2 3 117.18578663966476
3 0 2744.7692750288757
3 1 1135.678004578889
3 2 -117.18578663966476
=========================
0 1 -1559.659066162166
0 2 -2808.5789845550044
0 3 -2860.6153599252216
1 0 1559.659066162166
1 2 -1248.919918392838
1 3 -1300.9562937630553
